Q202735	Billy Bob Thornton
Q36477007	Mueller Medal
Q689660	Lindsay Hoyle
Q389617	Yōichi Masuzoe
Q356773	Gerardo Martino
Q10878	Dunia Susi
Q10875	Laura Bassett
Q334554	Christopher Samba
Q3873503	Spain national under-16 association football team
Q3873502	Italy national under-16 football team
Q3873500	Norway national under-16 association football team
Q476127	Na Haeo
Q1070888	Chevalier Jackson
Q93870	Eva Glawischnig-Piesczek
Q343704	İlhan Özbay
Q4389487	Imperial Prize of Japan Academy
Q392102	Galfingue
Q495681	Mohamed Chenik
Q1110334	Ljubo Miličević
Q370213	Dan Glickman
Q258738	Bob Ainsworth
Q544500	Robert Keohane
Q124179	Kiss
Q1517792	Order of St. Sava
Q22085	Talange
Q22081	Mondelange
Q635387	Alexandru Dimitrie Xenopol
Q2012061	Leader of the House of Lords
Q327716	Hugo Swire, Baron Swire
Q83178	Almere
Q464846	Liam Miller
Q314315	Diego Capel
Q499350	Andreas Lukse
Q3002936	Broadcast Film Critics Association Award for Best Comedy Film
Q654599	Broadcast Film Critics Association Award for Best Documentary Film
Q491374	Cravent
Q587985	Anton Amelchenko
Q229056	Minnie Driver
Q1355043	Minister for Foreign Affairs
Q1296227	Riksmål Society Literature Prize
Q11798924	Order of Alexander Nevsky
Q21687	Gondrexange
Q16665897	Metropolis of Lyon
Q669543	Viljandi JK Tulevik
Q22339	Eincheville
Q1139921	King's Chapel
Q22334	Rémering-lès-Puttelange
Q22332	Sturzelbronn
Q22331	Le Val-de-Guéblange
Q821256	La Ferté-Alais
Q618620	K.V. Kortrijk
Q985188	Gordeyevka
Q11013932	Shadow Chancellor of the Exchequer
Q665439	Gondecourt
Q554505	Bogdan Mara
Q17174392	canton of Attignat
Q532393	Borislav Mikhailov
Q5589725	Governor of Texas
Q1299792	Yannick Kakoko
Q1158583	Damián Ísmodes
Q1542199	Grammy Award for Best Solo Rock Vocal Performance
Q1414485	Filmfare Award for Best Background Score
Q1812121	Scotland national under-21 football team
Q1043437	Carlton M. Caves
Q324596	FC Unirea Urziceni
Q105861	VfL Bochum
Q823872	Bernd T. Matthias
Q346022	József Pintér
Q556346	Johann Euler
Q170403	Ukraine men's national football team
Q348618	Kyrie Irving
Q229313	Jessica Chastain
Q170157	Wuppertaler SV
Q537645	Emmanuèle Bernheim
Q18822382	Tabu Prize
Q18912794	member of the Australian House of Representatives
Q35286	Warren G. Harding
Q962770	Leon Knopoff
Q23016036	Federal Minister of Defence
Q29886440	Ernst Jung Prize for Medicine
Q979850	Veigar Páll Gunnarsson
Q634030	Patrik Gedeon
Q9920	Haarlem
Q234994	Jennifer Granholm
Q843269	Trévenans
Q690910	Eichberg
Q44687	Schutzstaffel
Q326447	Sergy
Q78407	Justus Hermann Lipsius
Q326441	Grigoris Makos
Q23787499	Remlingen-Semmenstedt
Q46825	Gothic art
Q1081551	Christian Reitz
Q3021821	Kansas City Film Critics Circle Award for Best Supporting Actor
Q1067105	Yōko Sōmi
Q342617	Ben Whishaw
Q230850	Irina Bokova
Q2478058	reconstruction
Q52905	HSwMS Drottning Victoria
Q907372	Alexander Pavlovich Vinogradov
Q691203	Grammy Award for Best Pop Collaboration with Vocals
Q819973	Silver Bear for Best Actor
Q18912868	Amanda Award for Best Screenplay
Q469198	Betty Shabazz
Q59105	Gylfi Sigurðsson
Q644438	Erwin Kostedde
Q509935	Hatten Yoder
Q59108	Kyle Walker
Q280481	Grammy Award for Best Traditional Pop Vocal Album
Q742692	Felix Healy
Q77031	Wolfgang Rihm
Q326191	Novorossiysk Governorate
Q2367317	Minister of Defence
Q47994	East Midlands
Q28031156	Juan Pizarro Navarrete
Q978459	Neeskens Kebano
Q131152	Shirin Ebadi
Q151062	Michael Rensing
Q2581300	Willibald-Pirckheimer-Medaille
Q949999	canton of Condé-en-Normandie
Q31155	MTV Europe Music Award for Best Song
Q204299	Frances McDormand
Q319271	Benjamin Lense
Q697134	Daniel Beichler
Q312062	Ali Al-Habsi
Q602100	Oleh Mishchenko
Q1054932	Kazuo Honma
Q1723064	Tony Award for Best Actor in a Musical
Q116602	Carlos Sánchez
Q664914	Jacques Monfrin
Q155290	Julio Salinas
Q296064	Gaston Doumergue
Q189170	Jagiellonia Białystok
Q123576	Leandro Salino
Q248782	Barcelona S.C.
Q207655	Kjell Magne Bondevik
Q17627279	Simferopol (urban okrug)
Q431564	Marian Seldes
Q341033	Telti
Q277787	Jerusalem Prize
Q1285628	Edmond Haraucourt
Q340612	Triei
Q501273	Los Angeles Film Critics Association Award for Best Actress
Q4722629	Hong Kong Film Award for Best Film
Q13306	Alexandre Lacazette
Q627334	Gazélec Ajaccio
Q165405	Helen Suzman
Q2083899	Pfizer Award in Enzyme Chemistry
Q1192750	Sonam Kapoor
Q840765	FC Naftan Novopolotsk
Q1242408	József Pápay
Q76327	Rudolf Bultmann
Q223151	James Baker
Q13230	Ferdinand de Saussure
Q45178	Sydney Opera House
Q49753	Jacques Crickillon
Q560180	Anna Eder
Q842614	Eisner Award
Q4835470	BET Award for Best Group
Q49971	Ginni Rometty
Q45221	Herbert Achternbusch
Q42234	Buzuluk
Q1275243	EMS Prize
Q133556	Ashley Cole
Q5973542	IRI Achievement Award
Q375659	Oleg Kononenko
Q168323	Zbyněk Pospěch
Q1129334	Les Horvath
Q696514	SV Grödig
Q1226051	Dimitris Reppas
Q184592	Gerard 't Hooft
Q1137049	Tsutomu Yamazaki
Q458726	Amir Gilboa
Q21571	Amelécourt
